source_date,company,product,metric_group,metric_name,value_numeric,value_text,evidence_text,source_title,source_url,source_grade,memo
2026-05-11,LGU+,LGU+ AICC,품질관리,상담 전·중·후 AI 적용,1,지원,"LG유플러스는 상담 전·중·후 전 과정에 AI를 적용하고, AI 상담 어드바이저와 Auto QA를 기반으로 상담 품질 관리를 제공","LG유플러스, AI로 고객센터 혁신","https://www.etnews.com/20260511000195",A,"2026 최신. CX/품질관리 중심 근거"
2026-05-11,LGU+,LGU+ AICC,품질관리,Auto QA 기반 품질 관리,1,지원,"복합적이거나 정서적 공감이 필요한 문의는 상담사에게 연결하고, AI 상담 어드바이저와 AI 상담 품질 관리(Auto QA)를 기반으로 상담 품질을 제공","LG유플러스, AI로 고객센터 혁신","https://www.etnews.com/20260511000195",A,"2026 최신. NAVER 대비 품질관리 지표 비교용"
2026-05-11,LGU+,LGU+ AICC,운영효율,대기 없는 문제 해결,1,지원,"챗봇·콜봇·ARS를 통해 고객이 대기 없이 즉시 문제를 해결하는 고객센터 경험을 제공","LG유플러스, AI로 고객센터 혁신","https://www.etnews.com/20260511000195",A,"정량 수치는 없지만 CX 운영 방향 근거"
2026-04-22,KT,KT Agentic AICC,제품구조,여러 AI 에이전트 연결,1,지원,"KT 에이전틱 AICC는 여러 AI 에이전트가 협력해 고객 상담부터 문제 해결까지 전 과정을 자동화하는 솔루션","KT, 에이전틱 AICC 서비스 공개","https://www.newsis.com/view/NISX20260422_0003601471",A,"2026 최신. 에이전틱 AICC 방향성"
2026-04-22,KT,KT Agentic AICC,제품구조,Agent Connector 플러그인 구조,1,지원,"에이전트 커넥터는 기존 AICC 플랫폼에 다양한 AI 에이전트를 플러그인 형태로 추가할 수 있는 기능을 제공","KT, 에이전틱 AICC 서비스 공개","https://www.newsis.com/view/NISX20260422_0003601471",A,"기존 시스템 고도화 강점"
2026-04-22,KT,KT Agentic AICC,운영효율,플랫폼 구축 기간 단축,3,기존 대비 1/3 수준,"KT는 실제 AICC 도입 현장에 에이전트 커넥터를 적용한 결과 플랫폼 구축 기간이 기존 대비 약 3분의 1 수준으로 단축되는 효과를 확인","KT, 에이전틱 AICC 서비스 공개","https://www.newsis.com/view/NISX20260422_0003601471",A,"운영/구축 리드타임 단축 근거"
2026-04-22,KT,KT Agentic AICC,산업특화,금융권 고객센터 효율화,1,은행·카드·보험,"KT는 에이전틱 AICC가 은행, 카드사, 보험사 등 금융권에서 활용하기 좋을 것으로 기대한다고 설명","KT, 에이전틱 AICC 서비스 공개","https://www.newsis.com/view/NISX20260422_0003601471",A,"금융권 AICC 특화 근거"
2026-04-06,KT,KT AICC,운영효율,AI 상담 응대 비중,40,평일 상담 10건 중 4건,"KT 고객센터의 평일 상담 10건 중 4건은 AI가 응대","KT AICC 전환 속도","https://v.daum.net/v/0iNYhpsAcX",B,"언론 보도. 운영 자동화 근거"
2026-04-06,KT,KT AICC,운영효율,본인인증 시간 단축,5,24초→5초,"KT 고객센터 본인인증 소요시간은 24초에서 5초로 줄었다","KT AICC 전환 속도","https://v.daum.net/v/0iNYhpsAcX",B,"인증 프로세스 효율화 근거"
2026-04-06,KT,KT AICC,운영효율,상품판매 성공률 상승,30,25.8%→30%,"KT 고객센터 상품판매 성공률은 25.8%에서 30%로 상승","KT AICC 전환 속도","https://v.daum.net/v/0iNYhpsAcX",B,"상담 성과 개선 근거"
