lead_id,industry,lead_stage,operation_model,agent_count_range,avg_daily_call_range,current_solution,desired_features,pain_point,estimated_call_volume_score,operation_scale_score,migration_complexity_score,feature_demand_score,automation_fit_score,quality_management_need,scenario_focus,notes
SL-001,finance,advanced,self_operated,100-299,5000-9999,legacy_cti,"outbound_happycall,auto_qa,agent_assist","불완전판매 모니터링과 해피콜 처리 시간이 주요 이슈",85,80,75,90,70,high,"Main,Global,Auto QA","금융권 해피콜과 품질관리 요구가 강한 가상 리드"
SL-002,insurance,rebuild,outsourced,300+,10000+,legacy_aicc,"auto_qa,call_summary,human_handoff","상담 품질 편차와 사후 검수 부담이 큼",95,95,85,90,55,high,"Auto QA,Human Handoff,Repair","대규모 상담센터 재구축 시뮬레이션"
SL-003,hospital,new,self_operated,10-49,500-999,none,"reservation_bot,faq,callback","예약 변경과 위치/진료시간 문의가 반복됨",45,35,20,60,85,medium,"Main,Global","신규 도입 병원 예약 자동화 시뮬레이션"
SL-004,retail,new,self_operated,10-49,1000-2999,none,"faq,order_status,return_exchange","배송 조회와 반품 문의가 반복됨",60,40,25,65,80,medium,"Global,Main","리테일 반복 문의 자동화 후보"
SL-005,public_service,advanced,self_operated,50-99,3000-4999,ivr,"faq,human_handoff,report_dashboard","민원 상담 대기와 상담원 연결 기준 관리가 필요",70,60,55,70,65,high,"Global,Human Handoff,Repair","공공성 문의의 상담원 전환 정책 시뮬레이션"
SL-006,travel,rebuild,outsourced,50-99,3000-4999,cloud_contact_center,"reservation_change,cancellation,agent_assist","예약 변경/취소 문의가 특정 시즌에 급증",70,60,60,75,75,medium,"Main,Human Handoff","시즌성 콜 급증 대응 리드"
SL-007,education,new,self_operated,1-9,100-499,none,"faq,campaign_call,lead_followup","입학 상담과 설명회 안내 콜을 자동화하고 싶음",30,20,15,50,80,low,"Global,Outbound","소규모 아웃바운드 캠페인 시뮬레이션"
SL-008,ecommerce,advanced,self_operated,100-299,5000-9999,cloud_contact_center,"order_status,refund,call_summary","주문/환불 문의가 많고 상담 후처리 시간이 김",85,80,50,80,75,medium,"Main,Global","주문 처리와 상담 요약 수요가 큰 리드"
SL-009,telecom,rebuild,self_operated,300+,10000+,legacy_aicc,"agent_assist,knowledge_search,auto_qa","상품/요금제 문의가 복잡하고 상담 지식 검색이 필요",95,95,80,95,60,high,"Main,Auto QA,Agent Assist","대규모 통신 상담센터 고도화 시뮬레이션"
SL-010,restaurant,new,self_operated,1-9,100-499,none,"reservation_bot,store_hours,callback","피크 시간대 예약 전화 미응답이 잦음",30,20,15,45,90,low,"Main,Global","소상공인 예약 응대 자동화 리드"
SL-011,logistics,advanced,outsourced,50-99,3000-4999,ivr,"delivery_status,delay_notice,human_handoff","배송 지연 문의와 상담원 연결 요청이 많음",70,60,55,70,70,medium,"Global,Human Handoff","물류 배송 조회와 지연 안내 시뮬레이션"
SL-012,healthcare,rebuild,self_operated,50-99,1000-2999,legacy_cti,"faq,reservation_bot,privacy_review","예약 자동화와 개인정보 확인 절차 정리가 필요",60,60,70,75,70,high,"Main,Repair,Quality Review","의료 예약과 개인정보 확인 흐름 시뮬레이션"
